Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,WATERBURY CONN,,54,12,11,174,169 94,,110 40,125 76,145 89,176,100,105,134,145,,1
,,,55,31,54,330,,,,,,,191,206,,236,,1
,,,56,45,,454,189,92,,132,145,171,188,219,257,327,,1
,,,34 56,Bs,11,454,169,80,99,115,134,155,180,199 199,223,278,,1
,,,,,,,,,,,,,,,158,201,,1
,HARTFORD CONN,,,26,35,314,124,55,79,89,105,116,127,136,,,,1
,,,,,,,,,,,92,,,,,,,1
,NEW HAVEN,,57,23,,201,100,52,60,65,,100,105,114,123,162,,1
,STAMFORD,,57,26,20,247,112,40,67,74,83,100,123,134,,194,,1
,PORTLAND,,57,,46,265,,47,80,85,97,114,130,145,154,,,1
,,,,,19,219,150,11,17,127,132,136,141,145,186,,,1
,BOSTON MASS,,54,,,388,126,73,86,94,100,110,123,137,155,213,,1
,,,55,,,,,,,,,,,,194,236,,1
,,,56,46,66,472,155,83,92,109,123,145,164,178,,,,1
,,,57,26,,214,137,83,89,105,117,132,145,162,191,210,,1
,,,37,135,57,472,140,80,91,102,114,128,140,160,183,219,,1
,MASS,,35,9,47,,78,47,60,65,71,76,76,93,97,101,,1
,,,56,19,36,92,57,36,38,40,1,58,60,65,76,85,,1
,,,55 56,,36,103,64,37,40,47,2 57 7,62,68,76,85,95,,1
,,,,,,,,,,,,105,,134,145,201,,1
,EVERETT MASS,,54,13 13,33,226,104,34,55,71,76,,123,,,,,1
,,,55,52,39,353,122,65,74,90,97,104,117,136,171,210,,1
,,,,43,61,293,137,78,87,107,116,129,,154,165,236,,1
,,,54 56,,33,353,126,66,79,90,102,115,129,147,165,207,,1
,LAWRENCE MASS,,57,26,21,186,74,34,38,50,55,65,76,94,102,130,,1
,MASS,,57,,43,253,108,47 47,65,76,,89,114,134,154,171,,1
,,,,26,,,,,50,58,,80,94,105,119,145,,1
,SOMERVILLE MASS,,57,26,37 37,,87,45,,,65,,,,,,,1
,,,,,34,219,106,44,60,,94,110,123,136,145,,,1
,MANCHESTER N H,,,17,40,,70,44,47,52,58,65,68,73,97,105,,1
,PROVIDEWCE R,,54,i2,37,208,92,40,69,16,79,81,84,,105,145,,1
,,,55,,57,289,153,65,89,114,123,145,171,201,219,236,,1
,,,57,27,73,253,115,81,86,94,102,111,117,127,138,145,,1
,,,54,90,37,289,118,73,81,87,96,107,119,130,143,201,,1
,,,,,,,,,,29,34,47,Si,35,89,123,,1
,,,54,,17,133,57,18,,,,,,47,65,76,,1
,,,55,12,ig,78,43,21,25,37,40,42,45,,,,,1
,,,54 5,23,17,133,50,20,29,34,40,44,47,52,65,,,1
,,,54,23,17,208,76,21,40,47,,76,,B85,89,134,,1
,,,55,23,ig,289,96,25,40,45,55,76,89,123,145,219,,1
,,,57,27,73,253,115,81,86,94,102,,117,127,138,145,,1
,,,54 57,73,,289,97,34,47,69,80,88,103,117,132,171,,1
,,,,,,,,,,40,,49,55,65 65,72,76,,1
,BURLINGTON VT,,57,26,24,83,52,34,36,,44,,,,,,,1
,ATLANTIC ITY,1154,54,6,55,240,113,55,55,65,65,105,114,114,123,123,,1
,,,,,387,225 2251133,133,83,89,105,114,134,145,154,162,171,,1
,,,54 55,17,55,240,i2,65,83,97,110,119,123,145,162,,,1
,N J,,54,2,63,72,67,,,65,65,65,65,65,76,76,,1
,,,55,,2s,107,62,25,40,40,55,65,76,83,B83,ag,,1
,,,54 55,10,25,107,63,25,40,55,,65,71,76,83,59,,1
,LEN GARDWER J,,54,6,24,149,59,23,23,25,25,37,40,40,89,59 39,,1
,,1755,55,6,19,116,50,,21,25,25,29,55,55,76,76,,1
,,,54 5 2,,19,149,55,21,22,,29,37,40,55,89,23,,1
,RED BANK N J,,54,4,35 35,116,76,,40,40,76,76,76,89,89,,,1
